"eventid","eventname","subtype","cuisine","price","openWeek","closeWeek","openSat","closeSat","openSun","closeSun","popularity","longitude","latitude","eventlength"
119,"Mondiall","dinner","Seafood",3,"9","11","9","11","9","11",2,"18.4240553","-33.9248685",2
120,"The Dog's Bollocks at YARD","dinner","Burger",1,"17","22","17","22","17","22",3,"18.4240553","-33.9248685",1
121,"South China Dim Sum Bar","dinner","Asian",1,"24","15","24","15","24","15",2,"18.4240553","-33.9248685",1
122,"La Parada","dinner","Spanish",2,"12","2","12","2","12","2",3,"18.4240553","-33.9248685",1.5
123,"Willoughby & Co.","dinner","Seafood",3,"12","22","12","22","12","22",3,"-81.4065011","41.6397696",2
124,"The Black Sheep Restaurant","dinner","European",3,"18","22","18","22","18","22",2,"18.4240553","-33.9248685",2
125,"Il Leone","dinner","Italian",3,"12","15","12","15","12","15",2,"18.4240553","-33.9248685",2
126,"Nuri Sushi Factory","dinner","Japanese",2,"11","21","11","21","11","21",3,"18.4240553","-33.9248685",1.5
127,"Haiku","dinner","Japanese",3,"12","15","12","15","12","15",2,"18.4240553","-33.9248685",2
128,"Sotano","dinner","European",2,"7","23","7","23","7","23",2,"18.4240553","-33.9248685",1.5
129,"IYO Burgers (Inside & You're Out)","dinner","Burger",2,"17","22","17","22","17","22",3,"18.4240553","-33.9248685",1.5
130,"Homespun","dinner","South African",3,"18","23","18","23","18","23",2,"18.4240553","-33.9248685",2
131,"Gibson's Gourmet Burgers & Ribs","dinner","Burger",2,"11","22","11","22","11","22",3,"18.4240553","-33.9248685",1.5
132,"Pigalle","dinner","Seafood",3,"12",NA,"12",NA,"12",NA,3,"18.4240553","-33.9248685",2
133,"Pancho's","dinner","Mexican",1,NA,"12",NA,"12",NA,"12",3,"18.4240553","-33.9248685",1
134,"The Five Guys Eatery","dinner","Burger",2,"11","23","11","23","11","23",1,"18.4240553","-33.9248685",1.5
135,"Ocean Basket","dinner","Seafood",3,"11","22","11","22","11","22",1,"18.4240553","-33.9248685",2
